3.29919,0,1.46631,1.85464,2.04719,1.10215,3.07347e-41
3.29919,0,1.46389,1.85383,2.04397,1.08845,3.07347e-41
3.29919,0,1.43972,1.81919,2.00691,1.0667,3.07347e-41
3.29919,0,1.47275,1.86511,2.05847,1.10618,3.07347e-41
3.29919,0,1.4647,1.85383,2.04236,1.08926,3.07347e-41
3.29919,0,1.43972,1.8208,2.0053,1.0667,3.07347e-41
3.29919,0,1.46631,1.85464,2.048,1.09812,3.07347e-41
3.29919,0,1.46711,1.85947,2.05042,1.09167,3.07347e-41
3.29919,0,1.43569,1.81677,1.99885,1.06025,3.07347e-41
3.29919,0,1.46309,1.85142,2.04316,1.0949,3.07347e-41
3.29919,0,1.47114,1.86592,2.05686,1.09893,3.07347e-41
3.29919,0,1.43569,1.81516,1.99966,1.05864,3.07347e-41
3.29919,0,1.46067,1.849,2.04155,1.09248,3.07347e-41
3.29919,0,1.47598,1.86914,2.06331,1.10295,3.07347e-41
3.29919,0,1.43811,1.81838,2.00288,1.06187,3.07347e-41
3.29919,0,1.45583,1.84175,2.03027,1.08604,3.07347e-41
3.29919,0,1.47598,1.86914,2.06492,1.10698,3.07347e-41
3.29919,0,1.44536,1.82886,2.01174,1.06831,3.07347e-41
